R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Paulo Thiago,Brandon Thatch,Dan Miragliotta,2013-11-09,"Goiania, Goias, Brazil",Blue,FALSE,Welterweight,3,0,1,0,4,4,12,9,8,4,6,4,22,13,2,0,0,0,0,26,17,0.65,0,1,1,1,33,24,1,0,1,1,3,1,7,1,0,0,9,1,0,0,0,0,0,10,2,0.2,0,2,0,0,10,2,1,83,0,0,0,0,1,0,0,1,Switch,187.96,187.96,170,0,1,0,5.2,4.2,6.7,5,28.9,9.1,5.9,3,33.7,10.4,0.4,2.6,2.5,1.9,0.2,41.5,17.1,0.338,1.2,2.8,1.2,0.244,55.3,28.2,2,5,5.1,2.7,3.5,1.9,39.4,9.3,13.1,8.4,44.2,13.1,0.1,6.7,3.8,2,0.1,56,19.6,0.402,0.7,3.8,1.5,0.358,93.2,53.5,25,696.5,0,0,0,3,1,1,0,5,Orthodox,180.34,185.42,170,28,32
Santiago Ponzinibbio,Ryan LaFlare,Mario Yamasaki,2013-11-09,"Goiania, Goias, Brazil",Blue,FALSE,Welterweight,3,0,1,0,21,12,41,17,31,12,18,8,66,23,0,3,2,6,1,90,37,0.41,1,8,6,0.75,115,57,1,0,2,1,2,0,25,8,1,1,23,7,0,3,1,2,0,28,9,0.32,0,2,1,0.5,47,25,3,900,0,0,0,1,0,0,0,1,Southpaw,185.42,187.96,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,30,27
Neil Magny,Seth Baczynski,John McCarthy,2013-11-06,"Fort Campbell, Kentucky, USA",Blue,FALSE,Welterweight,3,2,0,0,8.571428571,4.714285714,10.14285714,6.571428571,56.14285714,13.57142857,6.285714286,3.714285714,60.28571429,16.85714286,0.2857142857,3.714285714,2.285714286,0.4285714286,0,72.57142857,23.85714286,0.3314285714,0.7142857143,2.142857143,0.2857142857,0.05714285714,94.85714286,40.85714286,4,3,7.714285714,6.571428571,5.428571429,4,30.71428571,11.42857143,7.142857143,4.714285714,31.85714286,10.85714286,0.1428571429,3.714285714,2.714285714,0.8571428571,0.2857142857,43.28571429,20.14285714,0.4657142857,0,3.857142857,2,0.4885714286,70.71428571,44.57142857,15,566.1428571,0,0,1,0,1,2,0,4,Orthodox,190.5,187.96,170,1,0,0,10,7.5,16.5,11,49,20,9,5,60,24,0,4.5,4.5,2.5,0.5,74.5,36,0.39,0,2.5,2,0.4,94.5,53,1,1,3.5,1,4,2.5,43,8,5.5,4.5,46,12,0,3,2,2.5,0,52.5,15,0.425,0.5,7,1,0.535,66,24,4,546.5,0,0,0,1,0,0,0,1,Orthodox,190.5,203.2,170,32,26
Nate Marquardt,Hector Lombard,Jason Stafin,2013-10-19,"Houston, Texas, USA",Blue,FALSE,Welterweight,3,1,0,0,7.666666667,6.333333333,4.666666667,2.666666667,61.33333333,25.66666667,4.666666667,3.333333333,59.66666667,23.66666667,0.6666666667,3.333333333,1.666666667,0.6666666667,0,70.66666667,31.66666667,0.45,0,2.333333333,0.6666666667,0.1666666667,101.6666667,60.66666667,1,2,14.33333333,10.33333333,9.333333333,6.666666667,55.33333333,24.33333333,2,1.333333333,39.66666667,11.66666667,0,12.66666667,10.33333333,1.666666667,0,66.66666667,32.33333333,0.4733333333,0,4.666666667,1,0.2,78,42.66666667,7,672.6666667,0,0,0,0,1,0,0,1,Southpaw,175.26,180.34,185,1,0,0,5.333333333,3.866666667,7.266666667,5.266666667,32.2,13.93333333,11.46666667,7.333333333,39.73333333,17.53333333,0.5333333333,5.866666667,5.133333333,1.333333333,0.2,50.93333333,26.53333333,0.53,0.8666666667,2.466666667,1.8,0.53,62.8,37.4,4,5,2.466666667,1.533333333,2.2,0.9333333333,30.6,9.333333333,5.133333333,3.333333333,31.8,9.4,0.2666666667,3.666666667,2.666666667,1,0.06666666667,37.93333333,13.6,0.3306666667,0.4666666667,3.266666667,0.8666666667,0.2013333333,64.66666667,38.13333333,33,576.1333333,1,0,0,4,4,2,0,10,Orthodox,182.88,187.96,185,35,34
TJ Waldburger,Adlan Amagov,Jason Stafin,2013-10-19,"Houston, Texas, USA",Blue,FALSE,Welterweight,3,0,1,0,9,5,16,10,77,26,6,2,53,12,0,37,21,1,0,99,38,0.38,0,10,6,0.6,118,57,1,0,4,1,4,1,53,4,0,0,44,1,0,9,3,0,0,57,5,0.08,0,0,0,0,76,24,3,900,0,0,0,1,0,0,0,1,Orthodox,187.96,193.04,170,0,1,0,2.333333333,2,2.5,2,9.666666667,4.166666667,10.33333333,6.833333333,18.16666667,9.166666667,0.3333333333,2,1.833333333,2.833333333,0.5,22.5,13,0.62,3,3.166666667,2,0.6333333333,32.66666667,21.66666667,2,2,3.666666667,2.333333333,3.666666667,2.666666667,8,3.666666667,6.666666667,5.5,12.5,8,0.1666666667,2.166666667,1.5,0.1666666667,0.1666666667,18.33333333,11.83333333,0.545,1.166666667,1.666666667,0.8333333333,0.26,37,28.5,11,424.3333333,0,0,0,1,0,3,0,4,Orthodox,180.34,190.5,170,26,25
Demian Maia,Jake Shields,Marc Goddard,2013-10-09,"Barueri, Sao Paulo, Brazil",Blue,FALSE,Welterweight,5,0,1,0,30.66666667,20.83333333,19.66666667,12,130.3333333,37.16666667,3.166666667,2.5,102.6666667,18.83333333,0,19.83333333,12,3,0,153.1666667,51.66666667,0.3883333333,0,10.33333333,1.5,0.1283333333,197.3333333,91.5,1,3,20.66666667,15.16666667,16.16666667,13.5,72.5,24.16666667,4,2.833333333,67.66666667,21.16666667,0.1666666667,4.333333333,4.166666667,0.1666666667,0,92.66666667,40.5,0.4883333333,0.5,1.333333333,0.8333333333,0.36,116.1666667,63.16666667,18,858.8333333,1,0,2,1,0,0,0,3,Orthodox,182.88,182.88,170,0,3,0,5.25,3.625,5.25,3.0625,28.4375,8,10.25,7.25,36.5625,13.0625,0,2.125,1.625,2.6875,0.1875,43.9375,18.3125,0.509375,1.0625,6.875,2.25,0.358125,74.875,43.625,5,4,4.75,2.8125,3.0625,1.875,36,12.1875,6.0625,3.625,34.375,10.125,0.125,6,4.75,0.3125,0.25,45.125,17.6875,0.464375,0.375,1.0625,0.5,0.13,60.8125,31.5625,37,604.9375,1,0,0,5,1,6,0,12,Southpaw,185.42,182.88,170,34,35
Erick Silva,Dong Hyun Kim,Mario Yamasaki,2013-10-09,"Barueri, Sao Paulo, Brazil",Blue,FALSE,Welterweight,3,0,2,0,2.454545455,2.090909091,5.181818182,5.090909091,22.27272727,8.090909091,21.27272727,13.45454545,40.45454545,20,0.09090909091,5.818181818,4.545454545,3.636363636,0.1818181818,48.72727273,26.63636364,0.5418181818,0.6363636364,5.454545455,2.727272727,0.5463636364,89.90909091,64.81818182,3,3,7.272727273,5.181818182,8.818181818,6.545454545,32.09090909,8.545454545,3.090909091,2.181818182,31.18181818,8.272727273,0.09090909091,5.545454545,3.818181818,0.5454545455,0.1818181818,44,17.27272727,0.4063636364,0.4545454545,2.818181818,0.5454545455,0.1990909091,63.90909091,35.54545455,29,731.8181818,0,0,1,6,1,0,0,8,Southpaw,187.96,193.04,170,0,1,0,4,2.8,3.4,2,5.6,2.6,4.4,3.6,8.8,4.8,0.2,0.6,0.6,0.6,0,13.4,8.2,0.504,1,0.6,0.4,0.132,16,10.6,1,2,3.6,2.2,6,3.4,7,2.2,18.2,12.2,26,14.6,0,1.6,1,0.8,0.2,31.2,17.8,0.288,0.4,3.8,1.4,0.16,55.4,38.8,7,262.6,0,0,0,0,1,2,0,3,Orthodox,182.88,187.96,170,31,29
Ildemar Alcantara,Igor Araujo,Marc Goddard,2013-10-09,"Barueri, Sao Paulo, Brazil",Blue,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,170,0,2,0,15.5,13,3,2,75.5,26,1.5,0.5,62.5,13.5,0,2,2,0.5,0,80,28.5,0.37,1.5,3,2.5,0.83,102,47.5,2,0,17.5,10,2,2,67,37,1,0,38,16.5,0,14.5,12.5,0.5,0.5,70,39,0.545,0,3.5,0,0,85,52,5,679.5,0,0,0,1,0,1,0,2,Orthodox,187.96,198.12,185,32,30
Rousimar Palhares,Mike Pierce,Keith Peterson,2013-10-09,"Barueri, Sao Paulo, Brazil",Red,FALSE,Welterweight,3,0,4,0,8.333333333,6.333333333,15.08333333,9.75,48.58333333,14.75,12.25,8.666666667,60.41666667,20.75,0.25,7.166666667,6.083333333,1,0,75.91666667,33.16666667,0.4616666667,0.25,5.916666667,2.5,0.3375,123.25,76.33333333,4,3,11,8.5,16.91666667,10.66666667,56.83333333,17.25,0.9166666667,0.8333333333,59.66666667,17.5,0.08333333333,4,2.75,0.1666666667,0,74.66666667,28.75,0.3875,0.1666666667,2,0.6666666667,0.185,107.3333333,56.83333333,33,760.3333333,0,0,1,4,3,1,0,9,Orthodox,172.72,177.8,170,2,0,0,1.545454545,1.181818182,1.363636364,0.8181818182,16.36363636,8,5.454545455,3.090909091,19,8.454545455,0.09090909091,2.636363636,2.272727273,1.272727273,0.3636363636,23.18181818,11.90909091,0.3390909091,1.272727273,3.272727273,1.272727273,0.3927272727,46.18181818,30.81818182,3,4,1.272727273,0.8181818182,1.363636364,0.5454545455,24.27272727,8.636363636,10,5.636363636,33.54545455,13.45454545,0.3636363636,0.8181818182,0.5454545455,0.2727272727,0.09090909091,35.63636364,14.81818182,0.3736363636,0.4545454545,0.3636363636,0.3636363636,0.2727272727,43,21.90909091,19,413.9090909,0,0,0,2,0,5,0,7,Orthodox,172.72,180.34,170,33,33
Yan Cabral,David Mitchell,Mario Yamasaki,2013-10-09,"Barueri, Sao Paulo, Brazil",Red,FALSE,Welterweight,3,1,0,0,9.5,6.75,11.5,6.75,65.5,16.5,8.25,5,70.5,18.75,0,5.25,2.75,0.25,0.25,85.25,28.25,0.415,2,1.25,0.75,0.29,141,78.5,1,3,5.5,3.5,10.25,5.5,44.5,15.75,16,9.25,60.75,23,0.25,4.5,4,4.5,0.75,70.75,30.5,0.4325,2,4.5,3.25,0.7125,87,44,11,793.75,0,0,0,1,0,0,0,1,Orthodox,182.88,193.04,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,33,30
